time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Setpoint value active current [Arms];Actual active current value [Arms];Position control error [mm]
0;59.9677500;59.9626512;-0.0524319;-0.05433889;-0.04183914;-0.02349362;0.0050988
1.062500057742;59.9081250;59.9037618;-0.05251386;-0.05296855;-0.1177598;-0.1458251;0.0043632
2.125000115484;59.8551032;59.8525018;-0.05273587;-0.05189402;-0.1820783;-0.1562926;0.0026014
3.187500173226;59.7956328;59.7949238;-0.05287933;-0.05143105;-0.3196904;-0.2606402;0.0007090
4.250000230968;59.7419297;59.7424121;-0.05413708;-0.05220297;-0.2409631;-0.2815301;-0.0004824
5.31250052154064;59.6818213;59.6818537;-0.05290725;-0.05326434;-0.128367;-0.1153544;-0.0000324
6.375000346452;59.6290039;59.6282096;-0.05301729;-0.05345738;-0.2306059;-0.2005665;0.0007943
7.43750017136335;59.5684160;59.5677108;-0.05374435;-0.05370557;-0.09036988;-0.1447657;0.0007052
8.500000461936;59.5153340;59.5140667;-0.05303588;-0.05364267;-0.2158294;-0.1599663;0.0012673
9.56250075250864;59.4546979;59.4539256;-0.05357932;-0.05350721;-0.0818578;-0.08469834;0.0007723
10.6250010430813;59.4016675;59.4006986;-0.05315734;-0.05327587;-0.2391236;-0.1861188;0.0009689
11.6875004023314;59.3410000;59.3413920;-0.05446034;-0.05292192;-0.2452148;-0.2601849;-0.0003920
12.750000692904;59.2870000;59.2884631;-0.05307968;-0.05294849;-0.1358381;-0.1141234;-0.0014631
13.8125009834766;59.2272746;59.2289180;-0.05403629;-0.05294171;-0.2999004;-0.3319863;-0.0016434
14.8750003427267;59.1732500;59.1747374;-0.05416572;-0.05377517;-0.213435;-0.1800293;-0.0014874
15.9375015646219;59.1125000;59.1121525;-0.05396128;-0.05503857;-0.1235851;-0.1429568;0.0003475
17.000000923872;59.0585000;59.0563030;-0.05375521;-0.05551711;-0.07198317;-0.1146859;0.0021970
18.0625002831221;58.9977500;58.9944334;-0.05363047;-0.05509579;-0.07506446;-0.06210338;0.0033166
19.1250015050173;58.9437500;58.9406700;-0.05365683;-0.05423165;-0.1198602;-0.1369906;0.0030800
20.1875008642673;58.8830000;58.8810653;-0.05378444;-0.05337683;-0.1772996;-0.1742236;0.0019347
21.2500020861626;58.8289766;58.8282556;-0.05391967;-0.053031;-0.1963967;-0.2212494;0.0007210
22.3125014454126;58.7683789;58.7687106;-0.05414275;-0.05296458;-0.3211553;-0.2731091;-0.0003317
