time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm];Position control error [mm]
0;80.0000000;80.0000638;-7.108439E-06;3.807728E-06;80.0000000;-0.0000638
1.062500057742;80.0000000;80.0000638;-7.108439E-06;1.319147E-06;80.0000000;-0.0000638
2.125000115484;80.0000000;80.0000638;-7.108439E-06;5.141301E-07;80.0000000;-0.0000638
3.187500173226;80.0000000;80.0000638;-7.108439E-06;1.781149E-07;80.0000000;-0.0000638
4.250000230968;80.0000000;80.0000042;0;-1.9501E-05;80.0000000;-0.0000042
5.31250052154064;80.0000000;80.0000042;0;-6.755914E-06;80.0000000;-0.0000042
6.375000346452;80.0000000;80.0000043;0;-2.641667E-05;80.0000000;-0.0000043
7.43750017136335;80.0000000;80.0000043;0;-9.151774E-06;80.0000000;-0.0000043
8.500000461936;80.0000000;80.0000042;0;1.586511E-06;80.0000000;-0.0000042
9.56250075250864;80.0000000;80.0000042;0;5.4963E-07;80.0000000;-0.0000042
10.6250010430813;80.0000000;80.0000638;-7.108439E-06;2.344298E-05;80.0000000;-0.0000638
11.6875004023314;80.0000000;80.0000043;0;-3.366718E-05;80.0000000;-0.0000043
12.750000692904;80.0000000;79.9999447;6.16139E-06;-3.635036E-05;80.0000000;0.0000553
13.8125009834766;80.0000000;79.9998851;1.280188E-05;-3.872556E-05;80.0000000;0.0001149
14.8750003427267;80.0000000;80.0000638;-7.108439E-06;8.25127E-05;80.0000000;-0.0000638
15.9375015646219;80.0000000;80.0001234;-1.374892E-05;5.181441E-05;80.0000000;-0.0001234
17.000000923872;80.0000000;80.0001234;-1.374892E-05;2.019438E-05;80.0000000;-0.0001234
18.0625002831221;80.0000000;80.0000639;-7.119581E-06;-2.235345E-05;80.0000000;-0.0000639
19.1250015050173;80.0000000;79.9999447;6.16139E-06;-6.424339E-05;80.0000000;0.0000553
20.1875008642673;80.0000000;79.9999447;6.16139E-06;-3.335658E-05;80.0000000;0.0000553
21.2500020861626;80.0000000;80.0000638;-7.108439E-06;5.494696E-05;80.0000000;-0.0000638
22.3125014454126;80.0000000;80.0001234;-1.374892E-05;4.843469E-05;80.0000000;-0.0001234
23.3750008046627;80.0000000;80.0000639;-7.119581E-06;-2.81352E-05;80.0000000;-0.0000639
24.4375020265579;80.0000000;79.9999447;6.16139E-06;-8.623741E-05;80.0000000;0.0000553
25.500001385808;80.0000000;79.9999447;6.16139E-06;-5.866645E-05;80.0000000;0.0000553
26.5625007450581;80.0000000;80.0000042;0;2.86542E-06;80.0000000;-0.0000042
27.6250019669533;80.0000000;80.0000042;0;1.116781E-06;80.0000000;-0.0000042
28.6875013262033;80.0000000;80.0000042;0;9.157373E-06;80.0000000;-0.0000042
29.7500006854534;80.0000000;80.0000042;0;3.569034E-06;80.0000000;-0.0000042
30.8125019073486;80.0000000;80.0000042;0;1.236454E-06;80.0000000;-0.0000042
31.8750031292439;80.0000000;79.9999447;6.16139E-06;-3.666366E-05;80.0000000;0.0000553
32.9375006258488;80.0000000;79.9999447;6.16139E-06;-1.270174E-05;80.0000000;0.0000553
34.000001847744;80.0000000;80.0000042;0;2.113808E-05;80.0000000;-0.0000042
35.0625030696392;80.0000000;80.0000638;-7.108439E-06;3.345542E-05;80.0000000;-0.0000638
36.1250005662441;80.0000000;80.0000638;-7.108439E-06;1.303906E-05;80.0000000;-0.0000638
37.1875017881393;80.0000000;80.0000043;0;-4.837165E-05;80.0000000;-0.0000043
38.2500030100346;80.0000000;79.9999447;6.16139E-06;-5.237876E-05;80.0000000;0.0000553
39.3125005066395;80.0000000;80.0000042;0;1.161114E-05;80.0000000;-0.0000042
40.3750017285347;80.0000000;80.0000638;-7.108439E-06;3.392428E-05;80.0000000;-0.0000638
41.4375029504299;80.0000000;80.0000043;0;-4.113618E-05;80.0000000;-0.0000043
