time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
0;42.1198721;41.8776482;0.1752952;0.04892857;42.1510000
1.00000004749745;42.1547354;41.9618100;0.006885899;0.06748195;42.3200000
2.0000000949949;42.1538882;41.9886321;0.01005045;0.04086319;42.3200000
3.00000002607703;42.1330933;41.9862479;0.06081167;0.01455858;42.3200000
4.00000018998981;42.2890552;42.0518130;0.1738678;0.05025633;42.3200000
5.00000035390258;42.3237134;42.1362728;0.006360736;0.06817409;42.4880000
6.00000005215406;42.3228711;42.1621412;0.009595631;0.04052063;42.4880000
7.00000021606684;42.3021992;42.1579093;0.06026392;0.01327214;42.4880000
8.00000037997961;42.4572383;42.2212094;0.1728602;0.04839276;42.4880000
9.00000054389238;42.4916914;42.3053711;0.00632185;0.06728589;42.6560000
10.0000007078052;42.4908711;42.3320740;0.009380283;0.04071231;42.6560000
11.0000008717179;42.4701992;42.3287958;0.05994232;0.01396232;42.6560000
12.0000001043081;42.6252383;42.3940629;0.1723195;0.04986596;42.6560000
13.0000002682209;42.6596914;42.4790591;0.005688106;0.06828225;42.8240000
14.0000004321337;42.6588711;42.5046891;0.008866081;0.04043035;42.8240000
15.0000005960464;42.6381992;42.4995035;0.05964063;0.01264325;42.8240000
16.0000007599592;42.7932383;42.5631016;0.1722037;0.04834928;42.8240000
17.000000923872;42.8276914;42.6477998;0.005605579;0.06752954;42.9910000
18.0000010877848;42.8268540;42.6743835;0.008724866;0.04075953;42.9910000
19.0000012516975;42.8063052;42.6706880;0.05903461;0.0136952;42.9910000
20.0000014156103;42.9604214;42.7358955;0.1707062;0.04974046;42.9910000
21.0000015795231;42.9946694;42.8219050;0.004897418;0.06897599;43.1570000
22.0000017434359;42.9938369;42.8502768;0.007781573;0.04243708;43.1570000
23.0000019073486;42.9734111;42.8474158;0.05769954;0.01485018;43.1570000
24.0000002086163;43.1266045;42.9119676;0.168732;0.04974852;43.1570000
25.000000372529;43.1606475;42.9965466;0.004018093;0.06805355;43.3220000
26.0000005364418;43.1598198;43.0232495;0.007052264;0.04099407;43.3220000
27.0000007003546;43.1395171;43.0189579;0.05683085;0.01334093;43.3220000
28.0000008642673;43.2917876;43.0812448;0.1674035;0.04763706;43.3220000
29.0000010281801;43.3256255;43.1618303;0.004069976;0.06479593;43.4880000
30.0000011920929;43.3248369;43.1842416;0.007451242;0.03715989;43.4880000
31.0000013560057;43.3044111;43.1767314;0.05788721;0.01006143;43.4880000
32.0000015199184;43.4576045;43.2380050;0.1692849;0.04593252;43.4880000
32.9999998211861;43.4916475;43.3207363;0.004776881;0.06543424;43.6520000
34.000001847744;43.4908027;43.3461874;0.007998097;0.03918511;43.6520000
35.0000001490116;43.4706230;43.3413595;0.05753764;0.01232161;43.6520000
36.0000021755695;43.6219707;43.4049576;0.167252;0.04810945;43.6520000
37.0000004768372;43.6556035;43.4871524;0.004674658;0.06586272;43.8160000
38.0000025033951;43.6548027;43.5087889;0.008153914;0.03710072;43.8160000
39.0000008046627;43.6346230;43.4994906;0.05819153;0.008926013;43.8160000
40.0000028312206;43.7859707;43.5590952;0.1683508;0.04443733;43.8160000
41.0000011324883;43.8196035;43.6401576;0.005899671;0.06389511;43.9790000
42.0000031590462;43.8187856;43.6644763;0.009127657;0.03804353;43.9790000
43.0000014603138;43.7987290;43.6595887;0.05837506;0.01194476;43.9790000
44.0000034868717;43.9491538;43.7235445;0.1673373;0.04825093;43.9790000
45.0000017881393;43.9825815;43.8081234;0.005429878;0.06750623;44.1420000
46.0000038146973;43.9817856;43.8342899;0.008368502;0.0404825;44.1420000
47.0000021159649;43.9617290;43.8294619;0.05760927;0.01288611;44.1420000
48.0000004172325;44.1121538;43.8910931;0.1668305;0.04707419;44.1420000
49.0000024437904;44.1455815;43.9711421;0.005427792;0.06425723;44.3040000
50.0000007450581;44.1447686;43.9936727;0.008819108;0.03706824;44.3040000
51.000002771616;44.1248350;43.9878315;0.05787396;0.01099254;44.3040000
52.0000010728836;44.2743369;44.0499991;0.1663233;0.04667862;44.3040000
53.0000030994415;44.3075596;44.1317767;0.005663422;0.06520347;44.4660000
54.0000014007092;44.3067686;44.1563934;0.008738809;0.03869203;44.4660000
55.0000034272671;44.2868350;44.1513866;0.0577007;0.0120904;44.4660000
56.0000017285347;44.4363369;44.2137331;0.1661301;0.04726029;44.4660000
57.0000037550926;44.4695596;44.2968219;0.005324136;0.06622174;44.6260000
58.0000020563602;44.4687344;44.3225711;0.008368489;0.03975751;44.6260000
59.0000040829182;44.4490469;44.3182796;0.0566531;0.01292401;44.6260000
60.0000023841858;44.5967031;44.3818778;0.1635186;0.04841734;44.6260000
61.0000044107437;44.6295156;44.4648474;0.004596927;0.06647976;44.7870000
62.0000027120113;44.6287515;44.4877952;0.007738857;0.03809817;44.7870000
63.000001013279;44.6089409;44.4793314;0.05678713;0.009693536;44.7870000
64.0000030398369;44.7575200;44.5388168;0.1648231;0.04462369;44.7870000
65.0000050663948;44.7905376;44.6194023;0.005231538;0.06369645;44.9460000
65.9999996423721;44.7897173;44.6436018;0.008412642;0.03794601;44.9460000
67.0000016689301;44.7701528;44.6390718;0.05642503;0.01209406;44.9460000
68.000003695488;44.9168862;44.7029084;0.1625518;0.04825862;44.9460000
